id,name,kcal
E5300301,水植本島萵苣(1月取樣),11
E5300302,水植本島萵苣(4月取樣),12
E5300303,水植本島萵苣(7月取樣),10
E5300304,水植本島萵苣(10月取樣),10
E5300401,有機本島萵苣(1月取樣),11
E5300402,有機本島萵苣(4月取樣),16
E5300403,有機本島萵苣(7月取樣),15
E5300404,有機本島萵苣(10月取樣),11
E5300501,水植波士頓萵苣,5
E5300601,結球萵苣,12
E5400101,豌豆苗,27
E5500101,龍葵,21
E5600101,土植蕹菜(1月取樣),16
E5600102,土植蕹菜(4月取樣),15
E5600103,土植蕹菜(7月取樣),13
E5600104,土植蕹菜(10月取樣),14
E5600201,水植蕹菜(1月取樣),22
E5600202,水植蕹菜(4月取樣),18
E5600203,水植蕹菜(7月取樣),14
E5600204,水植蕹菜(10月取樣),17
E5600301,有機蕹菜(4月取樣),20
E5600302,有機蕹菜(10月取樣),15
E5600401,水蕹菜,19
E5700101,蘿蔔葉,10
E5800101,花椰菜,19
E5800201,冷凍花椰菜,15
E5800301,紫色花椰菜,33
E5800401,青花菜,23
E5800501,冷凍青花菜,19
E5800601,青花菜筍,27
E5810101,花椰菜乾,238
E5900101,金針菜,34
E5910101,金針菜乾,270
E6010101,洛神花乾,240
E6100101,絲瓜花,25
E62001,冬瓜平均值,9
E6200101,冬瓜,11
E6200102,香芋冬瓜,7
E6250101,醃漬冬瓜,20
E63001,南瓜平均值,69
E6300101,日本南瓜,80
E6300102,台灣南瓜,46
E6300103,栗子南瓜,79
E6300104,菊花南瓜,72
E6400101,胡瓜,13
E6400201,花胡瓜,11
E6450101,醃漬花胡瓜,79
E6500101,苦瓜(白皮),14
E6500201,苦瓜(青皮),13
E6500301,珍珠苦瓜,15
E6500401,野苦瓜,22
E6600101,隼人瓜,20
E6700101,白皮蛇瓜,16
E6700201,綠皮蛇瓜,26
E6800101,絲瓜,17
E6800201,稜角絲瓜,18
E6900101,越瓜,16
E6950101,醃漬越瓜,14
E70001,蒲瓜平均值,15
E7000101,蒲瓜(長形),16
E7000102,蒲瓜(圓形),15
E7000201,花蒲瓜(圓形),13
E7000301,葫蘆瓜,17
E7100101,黃櫛瓜,13
E7100201,綠櫛瓜,11
E7210101,枸杞子,325
E7300101,長茄子,20
E7300201,圓茄子,18
E74001,大番茄平均值(紅色系),17
E7400101,牛番茄,17
E7400102,紅番茄,18
E7400103,桃太郎番茄,15
E7400201,黃番茄,22
E74003,大番茄平均值(綠色系),20
E7400301,粉柿番茄,16
E7400302,黑柿蕃茄,21
E7400303,綠番茄,22
E74004,小番茄平均值(紅色系),30
E7400401,聖女小番茄,32
E7400402,試交二號小番茄,26
E7400403,櫻桃小番茄,31
E7400501,黃金小蕃茄,28
E74006,小番茄平均值(橙色系),29
E7400601,金女小番茄,28
E7400602,黃金聖女小番茄,28
E7400603,橙蕃茄,30
E75001,甜椒平均值(青皮),24
E7500101,甜椒(青皮),19
E7500102,小甜椒(青皮),28
E7500103,高山甜椒(青皮),23
E7500201,甜椒(紅皮),30
E7500301,甜椒(黃皮),25
E7500401,甜椒(橙皮),32
E75005,青辣椒平均值,27
E7500501,角椒,17
E7500502,長辣椒(青皮),41
E7500503,糯米椒,22
E75006,紅辣椒平均值,59
E7500601,長辣椒(紅皮),35
E7500602,朝天椒(長果),64
E7500603,朝天椒(圓果),77
E7510101,乾長辣椒(紅皮),303
E7600101,黃秋葵,28
E7700101,青花菜芽,19
E7800101,苜蓿芽,17
E7900101,紫高麗芽,27
E8000101,黃豆芽,29
E8100101,黑豆芽,60
E8200101,葵花芽,22
E8300101,綠豆芽,21
E8400101,豌豆芽,20
E8500101,蕎麥芽,16
E8600101,蘿蔔芽,21
E8700101,山蘇菜,20
E8800101,火炭母草,9
E8900101,石蓮花,9
E9000101,青葙,44
E9100101,假人蔘,30
E9200101,野苦瓜嫩梢,60
E9300101,過溝菜蕨,22
E9400101,蔘鬚,300
E9500101,龍骨瓣莕菜,14
E9600101,薄荷,41
E9700101,蕺菜,42
E9800101,蘆薈,2
E9900101,美國空心菜,18
E9900201,香芫荽,19
E9900301,荷蘭豆菜心,25
E9900401,厥子,12
E9900501,義大利茼蒿,12
E9900601,龍延草,77
F0110101,紅毛苔,214
F0210101,紫菜,212
F0210102,熟紫菜,223
F0310101,髮菜,275
F0400101,麒麟菜,33
F0410101,乾麒麟菜,166
F0500101,礁膜,9
F0610101,乾海茸芯,178
F07001,海帶平均值,14
F0700101,海帶卷,9
F0700102,海帶茸,25
F0700103,海帶梗,9
F0700104,海帶結,12
F0700105,海帶絲,17
F0710101,乾海帶,169
F0800101,裙帶菜,24
F0810101,乾裙帶菜,160
F0810201,乾裙帶菜根,126
F0910101,鳳尾藻,142
F9900101,洋菜,166
F9900201,壽司海苔片,227
F9900301,寒天脆藻,8
G0100101,木耳,24
G0100201,冷凍木耳,27
G01101,乾木耳平均值,224
G0110101,乾木耳(紅耳仔),182
G0110102,乾木耳(黑耳仔),265
G0200101,銀耳,12
G0200201,雪珍耳,31
G0210101,乾銀耳,184
G0250101,銀耳罐頭,45
G0300101,草菇,32
G0350101,草菇罐頭,25
G0400101,雞腿菇,32
G0410101,雞腿菇(乾),259
G0500101,松茸,33
G0600101,白精靈菇,31
G0700101,柳松菇,33
G0710101,乾柳松菇,234
G08001,香菇平均值,31
G0800101,香菇(大),31
G0800102,香菇(小),21
G0800103,花菇,42
G08101,乾香菇平均值,250
G0810101,乾香菇,259
G0810102,乾花菇,253
G0810103,乾白花菇,233
G0810104,乾鈕釦菇,256
G0950101,醃漬香菇,42
G1000101,姬松茸,36
G1010101,乾姬松茸,259
G1100101,酒杯菇,42
G1200101,秀珍菇,25
G1200201,天喜菇,22
G1200301,白蠔菇,27
G1200401,玫瑰菇,26
G1250101,秀珍菇罐頭,16
G1300101,杏香菇,24
G13002,杏鮑菇平均值,35
G1300201,杏鮑菇(大),30
G1300202,杏鮑菇(中),35
G1300203,杏鮑菇(小),41
G1400301,珊瑚菇,29
G1500101,蠔菇,20
G1500201,鮑魚菇,21
G1600101,金針菇,33
G1600201,華翠菇,24
G1650101,金針菇罐頭,17
G1700101,滑菇,24
G1800101,舞菇,27
G1900101,鴻喜菇,25
G1900201,美白菇,24
G2000101,洋菇,23
G2000201,冷凍洋菇,31
G2050101,洋菇罐頭,20
G2100101,白茯苓,162
G2300101,猴頭菇,26
G2300301,猴頭菇罐頭,25
G2310101,乾猴頭菇,242
G2410101,乾竹笙,250
G9000101,松茸白菇,32
G9000201,金喜菇,34
G9000301,喜來菇,33
G9000401,富珍茸,33
H01051,白鳳豆平均值,296
H0105101,白鳳豆(台灣),301
H0105102,白鳳豆(進口),291
H0205101,米豆,317
H0305101,花豆,288
H0350101,花豆罐頭(糖漬),190
H0405101,紅豆,290
H0450101,紅豆罐頭(糖漬),220
H0505101,紅雲豆(大紅豆),285
H0550101,甘納豆,318
H0605101,青仁黑豆,340
H0605201,黃仁黑豆,205
H0610101,黑豆胚芽,146
H0610201,烘烤黑豆,379
H0620101,黑豆粉,396
H0705101,毛綠豆,312
H0705102,綠豆,312
H0710101,綠豆仁,315
H0720101,綠豆粉,319
H0750101,高纖胚芽冬粉,361
H0750201,冬粉,349
H0750301,寬粉,347
H0800101,豇豆(莢),30
H0900101,萊豆仁,102
H1000101,粉豆莢,23
H1000201,敏豆莢,26
H1000301,冷凍菜豆(莢),52
H1100101,毛豆仁,116
H1100201,帶莢毛豆,97
H1100301,冷凍毛豆仁,121
H1105101,黃豆,359
H1110101,黃豆胚芽,151
H1120101,黃豆粉,374
H1150101,豆漿,53
H1150201,豆漿(無糖),32
H1150301,雞蛋豆漿,55
H1150401,鹹豆漿,37
H1150501,黑豆漿,39
H1150601,豆漿優酪乳,68
H1200101,豌豆仁,108
H1200201,豌豆莢,34
H1200301,高山大豌豆莢,44
H1200401,甜豌豆莢,37
H1200501,冷凍豌豆仁,79
H1250101,豌豆仁罐頭,111
H1300101,鵲豆莢,24
H1410101,鹽酥蠶豆,409
H1505101,紅扁豆仁,308
I01001,牛小排平均值,325
I0100101,去骨牛小排,290
I0100102,帶骨牛小排,360
I0100201,牛肋條,225
I0100301,沙朗牛排,162
I0102101,板腱 ,166
I0102201,牛去骨肩胛小排,233
I0104101,牛前胸肉,331
I0104201,牛修清前胸肉,120
I0106101,去骨紐約克牛排,189
I0106201,腓力牛排,184
I0108101,牛後腿肉,122
I0108201,牛後腿股肉,153
I0108301,牛後腿腱子心,139
I01101,牛肉火鍋片平均值,250
I0110101,牛五花肉火鍋片,430
